year,municipality_nis_code,Gemiddeld_inkomen_per_aangifte,Mediaan_inkomen_per_aangifte,Gemiddeld_inkomen_per_inwoner,Interkwartiel_verschil,Interkwartiele_coefficient,Interkwartiele_assymmetrie,Welvaartsindex
2005,44064,35964,22357,19815,32192,143.99,31.01,145.56
2005,44072,24385,19750,13797,20019,101.36,21.54,101.35
2005,44073,26742,20943,14893,23586,112.62,22.65,109.4
2005,44080,24352,19286,13956,20112,104.28,21.1,102.52
2005,44081,25117,19923,13685,21470,107.76,23.85,100.54
2005,45000,25107,19445,14177,20220,103.99,21.43,104.15
2005,45017,26085,19385,14217,23224,119.81,26.6,104.44
2005,45035,25766,20099,14759,20882,103.89,20.28,108.43
2005,45041,21520,17071,12199,15359,89.97,18.31,89.62
2005,45057,25690,20297,14375,20804,102.5,21.95,105.6
2005,45059,25071,19751,14647,19540,98.93,18.83,107.6
2005,45060,25126,19305,14168,20984,108.7,24.94,104.08
2005,45061,28207,20877,15106,26090,124.97,26.67,110.97
2005,45062,27702,21171,15427,23353,110.31,20.05,113.33
2005,45063,27068,21167,15089,22695,107.22,23.81,110.84
2005,45064,25774,19422,14362,22846,117.63,24.95,105.5
2005,45065,27385,20792,15207,23280,111.97,22.72,111.71
2005,46000,25531,19820,14261,20167,101.75,21.81,104.76
2005,46003,27515,20974,15190,22140,105.56,26.81,111.59
2005,46013,26014,19900,14679,20066,100.83,27.18,107.84
2005,46014,25559,20403,13597,20011,98.08,18.21,99.89
2005,46020,26055,20212,14090,21732,107.52,23.43,103.51
2005,46021,24152,18806,14047,18454,98.12,20.01,103.19
2005,46024,25056,19735,14061,20621,104.49,22.88,103.29
2005,46025,25574,19551,14172,19927,101.92,24.86,104.11
2005,50000,21225,16097,12012,15723,97.68,29.16,88.24
2005,51000,22651,17447,12942,17509,100.36,23.83,95.08
2005,51004,23389,17983,13691,18590,103.37,21.51,100.58
2005,51008,21671,16862,12343,16186,95.99,24.07,90.67
2005,51009,20630,15630,11629,14993,95.93,33.14,85.43
2005,51012,22436,17881,12782,17746,99.24,21.58,93.9
2005,51014,23384,18415,12866,18993,103.14,24.49,94.51
2005,51017,23652,17954,13418,18928,105.43,24.83,98.57
2005,51019,23554,17751,13372,19222,108.29,28.52,98.24
2005,51065,22964,17821,12932,17835,100.08,21.84,95
2005,52000,20272,15403,11527,14529,94.33,30.84,84.68
2005,52010,20737,16151,11173,14977,92.73,27.43,82.08
2005,52011,18760,14371,10834,12943,90.06,36.19,79.59
2005,52012,19133,14870,10948,13439,90.38,33.16,80.43
2005,52015,20424,16056,11427,14652,91.26,25.86,83.94
2005,52018,17856,14129,9524.1,12067,85.41,37.84,69.97
2005,52021,20786,16137,11854,15370,95.25,28.61,87.08
2005,52022,20240,15585,11614,14113,90.56,28.79,85.32
2005,52025,27385,20027,15423,23325,116.47,27.07,113.3
2005,52043,20274,15681,11388,15110,96.36,29.93,83.66
2005,52048,27135,19677,15919,21573,109.63,27.11,116.94
2005,52055,25055,19337,13782,20771,107.42,26.5,101.25
2005,52063,25535,18294,14055,20332,111.14,27.21,103.25
2005,52074,21978,16486,11900,15845,96.11,26.26,87.42
2005,52075,25971,18615,14343,21681,116.47,28.99,105.36
2005,53000,20895,15518,11894,15488,99.81,33.63,87.38
2005,53014,18862,14590,10846,13310,91.23,36.72,79.68
2005,53020,19515,14335,11257,13655,95.26,41.97,82.7
2005,53028,20156,15398,11804,14654,95.17,34.57,86.71
2005,53039,21030,15549,11504,14916,95.93,33.55,84.51
2005,53044,29330,21305,14817,24922,116.98,23.85,108.85
2005,53046,23969,18215,12744,20756,113.95,28.28,93.62
2005,53053,21355,15575,12203,16320,104.78,34.95,89.65
2005,53065,18633,14298,10630,12850,89.87,38.95,78.09
2005,53068,19355,15135,11328,13751,90.86,30.82,83.22
2005,53070,21891,16602,12702,16464,99.17,27.7,93.31
2005,53082,18146,13689,10232,12291,89.79,45.23,75.16
2005,53083,23358,17939,12833,17926,99.93,23.97,94.28
2005,53084,24444,18633,13761,20063,107.67,25.93,101.09
2005,54000,20642,16791,11545,15091,89.87,18.63,84.81
2005,54007,20826,16896,11699,15163,89.74,18.86,85.94
2005,54010,20077,16487,11083,14835,89.98,18.6,81.42
2005,55000,22469,16877,12581,17329,102.68,28.13,92.42
2005,55004,24970,18816,13783,20549,109.21,24.68,101.25
2005,55010,26524,19156,15135,20691,108.02,23.85,111.19
2005,55022,19899,15303,11271,14380,93.97,31.51,82.8
2005,55023,22176,17373,12777,16669,95.95,21.63,93.86
2005,55035,25085,18381,13780,20839,113.38,28.27,101.23
2005,55039,27904,20620,14760,25159,122.01,29.02,108.43
2005,55040,24030,17949,13015,19403,108.1,26.02,95.61
2005,55050,23137,17647,13044,18158,102.9,26.22,95.82
2005,56000,21782,16467,12161,16357,99.33,28.88,89.34
2005,56001,19579,15191,11235,13797,90.82,34.18,82.53
2005,56005,21541,16012,11774,17050,106.48,32.8,86.49
2005,56011,20551,15752,11804,14615,92.78,30.18,86.72
2005,56016,19779,14996,10925,15399,102.69,31.61,80.26
2005,56022,20606,16502,11228,15069,91.32,22.33,82.48
2005,56029,19661,14367,10969,13837,96.31,34.17,80.58
2005,56044,24487,18666,13510,19967,106.97,29.53,99.25
2005,56049,21475,16605,11543,16049,96.65,25.8,84.8
2005,56051,18626,14360,10271,13483,93.89,33.65,75.45
2005,56078,24891,18667,13653,20528,109.97,26.9,100.3
2005,56085,22820,16892,12689,17829,105.55,30.49,93.22
2005,56086,28248,20463,15512,23147,113.11,27.01,113.95
2005,56087,20474,15882,11485,15045,94.73,30.02,84.37
2005,56088,20957,16202,11489,16103,99.39,27.67,84.4
2005,57000,22000,16750,12495,16930,101.08,26.73,91.79
2005,57003,20588,16451,11926,15192,92.34,23.81,87.61
2005,57018,22474,17284,12456,18519,107.15,27.32,91.5
2005,57027,23343,17677,12263,17195,97.27,19.6,90.09
2005,57062,23117,17519,12659,18624,106.31,27.76,92.99
2005,57064,20388,15720,11230,15223,96.84,29.82,82.49
2005,57072,21592,17171,12143,16208,94.39,21.74,89.21
2005,57081,22249,16625,12945,17262,103.83,27.59,95.09
2005,57093,21443,16708,11902,16392,98.11,27,87.43
2005,57094,22156,17255,12657,17344,100.52,23.84,92.98
2005,57095,23222,18743,12796,18954,101.13,21.92,94
2005,60000,22459,17117,12669,17597,102.8,25.41,93.07
2005,61000,23774,17912,13358,19449,108.58,25.56,98.13
2005,61003,21925,17273,12566,17076,98.86,23.02,92.31
2005,61010,26564,20357,14402,22456,110.31,23.51,105.8
2005,61012,23909,17971,13175,20252,112.69,25.02,96.79
2005,61019,24282,18696,13427,20775,111.12,22.55,98.63
2005,61024,22615,17272,12629,18016,104.31,25.79,92.78
2005,61028,25065,19463,13130,20946,107.62,24.37,96.45
2005,61031,21073,15316,12807,15535,101.43,31.95,94.08
2005,61039,23495,17799,12937,19988,112.3,28.42,95.04
2005,61041,25524,19613,13989,21890,111.61,23.58,102.77
2005,61043,30562,21137,16481,29032,137.35,33.14,121.07
2005,61048,24583,18584,13570,19774,106.4,22.37,99.69
2005,61063,27732,20923,14281,25481,121.78,28.77,104.91
2005,61068,24757,19135,13514,21612,112.94,22.32,99.27
2005,61072,24634,19168,13753,20217,105.47,23.68,101.03
2005,61079,25562,19548,14226,21936,112.21,27.87,104.51
2005,61080,21052,16905,11670,16010,94.71,21.46,85.73
2005,61081,27272,19621,14031,24917,126.99,29.38,103.08
2005,62000,21782,16563,12506,16723,100.97,26.88,91.87
2005,62003,22404,17594,13087,17731,100.78,23.13,96.14
2005,62006,25619,19162,14286,22107,115.37,28.47,104.94
2005,62009,22339,17106,12753,18128,105.98,26.8,93.68
2005,62011,23188,18311,13031,18737,102.33,22.1,95.73
2005,62015,21963,17376,12222,18074,104.01,26.31,89.78
2005,62022,29801,19976,16685,24231,121.3,29.12,122.57
2005,62026,21301,16340,12189,15989,97.86,27.5,89.54
2005,62027,26778,20567,14425,23850,115.96,20.48,105.97
2005,62032,25897,18877,15292,21764,115.3,23.91,112.34
2005,62038,22628,17374,12868,17747,102.14,25.82,94.53
2005,62051,19720,15752,11440,14733,93.54,29.23,84.04
2005,62060,26515,20523,14663,22682,110.52,22.17,107.72
2005,62063,20144,15141,11719,15020,99.2,30.55,86.09
2005,62079,22794,18010,13162,17953,99.68,22.46,96.69
2005,62093,19152,15636,10828,13858,88.63,26.4,79.55
2005,62096,19173,15223,11333,13615,89.44,27.58,83.25
2005,62099,23938,18564,13029,19896,107.18,24.7,95.71
2005,62100,26009,19212,14319,23257,121.06,26.38,105.19
2005,62108,22193,17158,12472,17398,101.4,24.68,91.62
2005,62118,20863,17033,11846,16201,95.11,22.87,87.02
2005,62119,26091,20373,14341,22591,110.89,20.99,105.35
2005,62120,21223,16908,12316,15894,94,22.96,90.47
2005,62121,31547,22602,17097,28440,125.83,30.59,125.6
2005,62122,24286,18460,13378,18970,102.76,23.43,98.27
2005,63000,22761,17637,12393,18176,103.06,22.71,91.04
2005,63001,21670,17824,11179,16086,90.25,16.73,82.13
2005,63003,24010,18153,13234,22213,122.37,22.52,97.22
2005,63004,24912,19593,13266,22460,114.64,22.08,97.45
2005,63012,21391,17988,11122,16150,89.78,12.29,81.71
2005,63013,21568,18563,11283,15142,81.57,14.56,82.89
2005,63020,19124,14788,10339,14224,96.19,35.61,75.95
2005,63023,26185,19399,13791,18450,95.11,23.73,101.31
2005,63035,24372,18542,13385,21305,114.9,25.48,98.33
2005,63038,26227,20024,14427,23411,116.92,20.47,105.99
2005,63040,23046,18779,11330,17227,91.74,23.65,83.23
2005,63045,22053,16825,12163,20150,119.76,27.36,89.35
2005,63046,22665,18011,12628,18595,103.24,22.56,92.77
2005,63048,25674,21029,12521,20206,96.08,14.98,91.98
2005,63049,22455,17652,12533,18304,103.7,23.51,92.07
2005,63057,29814,21885,15996,26109,119.3,21.52,117.51
2005,63058,22698,17803,12463,18827,105.75,24.36,91.55
2005,63061,27066,20395,12944,20104,98.57,23.17,95.09
2005,63067,23279,18714,12598,18174,97.11,19.51,92.55
2005,63072,21193,16150,13038,16067,99.49,25.1,95.78
2005,63073,22006,17310,12450,18487,106.8,20.11,91.46
2005,63075,23436,18325,13036,20919,114.16,19.93,95.76
2005,63076,24964,19163,13795,22024,114.93,23.2,101.34
2005,63079,20245,15078,11441,15234,101.03,32.35,84.05
2005,63080,22078,17654,11971,17618,99.8,18.16,87.94
2005,63084,22853,18367,12902,18887,102.83,18.28,94.78
2005,63086,21629,17685,12119,18686,105.66,14.59,89.03
2005,63087,21992,18679,11151,17155,91.84,14.22,81.92
2005,63088,21757,17512,11722,17348,99.07,18.1,86.11
2005,63089,26410,20320,13479,25072,123.39,21.74,99.02
2005,64000,25127,19207,14057,21034,109.51,25.61,103.26
2005,64008,25695,19904,14136,21028,105.65,26.92,103.85
2005,64015,25562,19875,14016,21756,109.46,22.72,102.96
2005,64021,27533,21296,14895,23995,112.67,22.88,109.42
2005,64023,27752,21622,14661,25910,119.83,28.3,107.7
2005,64025,25757,19551,14256,21846,111.74,24.17,104.73
2005,64029,26857,19718,14209,22395,113.58,26.02,104.38
2005,64034,25904,19027,14260,22341,117.42,27.68,104.76
2005,64047,24887,19382,13971,20902,107.84,24,102.63
2005,64056,25248,19100,14045,21573,112.95,28.89,103.18
2005,64063,25893,20211,14693,21392,105.84,24.81,107.93
2005,64065,22189,17198,12546,17415,101.27,26.59,92.16
2005,64074,23674,18550,14043,19016,102.51,22.4,103.16
2005,64075,24215,18335,13007,20048,109.34,27.5,95.55
2005,64076,26595,21058,14616,23572,111.94,20.62,107.37
2005,70000,23857,19103,13246,18441,96.53,19.91,97.3
2005,71000,24100,19110,13592,18620,97.43,20.07,99.85
2005,71002,24612,20009,13408,19772,98.82,20.51,98.49
2005,71004,23468,19261,12564,17118,88.87,16.44,92.29
2005,71011,26255,20636,14388,21113,102.31,23.29,105.7
2005,71016,22022,17416,12036,15983,91.77,18.96,88.42
